modpos_hex,order,row,ms,speed,bpm,note
0x0a11,10,17,64782.5,5,128,
0x0a12,10,18,64880.2,5,128,
0x0a13,10,19,64977.8,5,128,
0x0a14,10,20,65075.5,5,128,
0x0a15,10,21,65173.1,5,128,
0x0a16,10,22,65270.8,5,128,
0x0a17,10,23,65368.4,5,128,
0x0a18,10,24,65466.1,5,128,
0x0a19,10,25,65563.8,5,128,
0x0a1a,10,26,65661.4,5,128,
0x0a1b,10,27,65759.1,5,128,
0x0a1c,10,28,65856.7,5,128,
0x0a1d,10,29,65954.4,5,128,
0x0a1e,10,30,66052.0,5,128,
0x0a1f,10,31,66149.7,5,128,
0x0a20,10,32,66247.3,5,128,
0x0a21,10,33,66345.0,5,128,
0x0a22,10,34,66442.7,5,128,
0x0a23,10,35,66540.3,5,128,
0x0a24,10,36,66638.0,5,128,
0x0a25,10,37,66735.6,5,128,
0x0a26,10,38,66833.3,5,128,
0x0a27,10,39,66930.9,5,128,
0x0a28,10,40,67028.6,5,128,
0x0a29,10,41,67126.3,5,128,
0x0a2a,10,42,67223.9,5,128,
0x0a2b,10,43,67321.6,5,128,
0x0a2c,10,44,67419.2,5,128,
0x0a2d,10,45,67516.9,5,128,
0x0a2e,10,46,67614.5,5,128,
0x0a2f,10,47,67712.2,5,128,
0x0a30,10,48,67809.8,5,128,
0x0a31,10,49,67907.5,5,128,
0x0a32,10,50,68005.2,5,128,
0x0a33,10,51,68102.8,5,128,
0x0a34,10,52,68200.5,5,128,
0x0a35,10,53,68298.1,5,128,
0x0a36,10,54,68395.8,5,128,
0x0a37,10,55,68493.4,5,128,
0x0a38,10,56,68591.1,5,128,
0x0a39,10,57,68688.8,5,128,
0x0a3a,10,58,68786.4,5,128,
0x0a3b,10,59,68884.1,5,128,
0x0a3c,10,60,68981.7,5,128,
0x0a3d,10,61,69079.4,5,128,
0x0a3e,10,62,69177.0,5,128,
0x0a3f,10,63,69274.7,5,128,
0x0b00,11,0,69372.3,5,128,
0x0b01,11,1,69470.0,5,128,
0x0b02,11,2,69567.7,5,128,
0x0b03,11,3,69665.3,5,128,
0x0b04,11,4,69763.0,5,128,
0x0b05,11,5,69860.6,5,128,
0x0b06,11,6,69958.3,5,128,
0x0b07,11,7,70055.9,5,128,
0x0b08,11,8,70153.6,5,128,
0x0b09,11,9,70251.3,5,128,
0x0b0a,11,10,70348.9,5,128,
0x0b0b,11,11,70446.6,5,128,
0x0b0c,11,12,70544.2,5,128,
0x0b0d,11,13,70641.9,5,128,
0x0b0e,11,14,70739.5,5,128,
0x0b0f,11,15,70837.2,5,128,
0x0b10,11,16,70934.8,5,128,
0x0b11,11,17,71032.5,5,128,
0x0b12,11,18,71130.2,5,128,
0x0b13,11,19,71227.8,5,128,
